Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","662","Cocoa, paste","2011","2011","tonnes","19885","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","662","Cocoa, paste","2012","2012","tonnes","12781","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","662","Cocoa, paste","2013","2013","tonnes","9360","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","662","Cocoa, paste","2014","2014","tonnes","15446","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","662","Cocoa, paste","2015","2015","tonnes","15835","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","662","Cocoa, paste","2016","2016","tonnes","22540","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","662","Cocoa, paste","2017","2017","tonnes","8838","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","662","Cocoa, paste","2018","2018","tonnes","1881","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","662","Cocoa, paste","2019","2019","tonnes","476","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","662","Cocoa, paste","2020","2020","tonnes","1549","*","Unofficial figure"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","662","Cocoa, paste","2010","2010","1000 US$","25279","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","662","Cocoa, paste","2011","2011","1000 US$","70420","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","662","Cocoa, paste","2012","2012","1000 US$","35698","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","662","Cocoa, paste","2013","2013","1000 US$","42330","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","662","Cocoa, paste","2014","2014","1000 US$","54237","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","662","Cocoa, paste","2015","2015","1000 US$","58755","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","662","Cocoa, paste","2016","2016","1000 US$","86633","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","662","Cocoa, paste","2017","2017","1000 US$","23230","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","662","Cocoa, paste","2018","2018","1000 US$","4712","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","662","Cocoa, paste","2019","2019","1000 US$","1327","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","662","Cocoa, paste","2020","2020","1000 US$","4444","*","Unofficial figure"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","665","Cocoa, powder & cake","2016","2016","tonnes","","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","665","Cocoa, powder & cake","2017","2017","tonnes","","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","665","Cocoa, powder & cake","2019","2019","tonnes","605","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","665","Cocoa, powder & cake","2020","2020","tonnes","10203","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","665","Cocoa, powder & cake","2016","2016","1000 US$","","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","665","Cocoa, powder & cake","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","665","Cocoa, powder & cake","2019","2019","1000 US$","813","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","665","Cocoa, powder & cake","2020","2020","1000 US$","17631","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","661","Cocoa, beans","2010","2010","tonnes","242843","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","661","Cocoa, beans","2011","2011","tonnes","295188","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","661","Cocoa, beans","2012","2012","tonnes","204190","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","661","Cocoa, beans","2013","2013","tonnes","151290","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","661","Cocoa, beans","2014","2014","tonnes","228342","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","661","Cocoa, beans","2015","2015","tonnes","309735","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","661","Cocoa, beans","2016","2016","tonnes","238783","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","661","Cocoa, beans","2017","2017","tonnes","344752","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","395664","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","661","Cocoa, beans","2019","2019","tonnes","395200","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","661","Cocoa, beans","2020","2020","tonnes","466104","*","Unofficial figure"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","661","Cocoa, beans","2010","2010","1000 US$","756230","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","661","Cocoa, beans","2011","2011","1000 US$","836760","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","661","Cocoa, beans","2012","2012","1000 US$","506710","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","661","Cocoa, beans","2013","2013","1000 US$","389775","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","661","Cocoa, beans","2014","2014","1000 US$","614534","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","661","Cocoa, beans","2015","2015","1000 US$","839175","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","661","Cocoa, beans","2016","2016","1000 US$","698978","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","661","Cocoa, beans","2017","2017","1000 US$","784237","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","661","Cocoa, beans","2018","2018","1000 US$","850341","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","661","Cocoa, beans","2019","2019","1000 US$","875644","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5922","Export Value","661","Cocoa, beans","2020","2020","1000 US$","1117853","*","Unofficial figure"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","664","Cocoa, butter","2010","2010","tonnes","29315","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","664","Cocoa, butter","2011","2011","tonnes","20675","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","664","Cocoa, butter","2012","2012","tonnes","22380","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","664","Cocoa, butter","2013","2013","tonnes","16548","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","664","Cocoa, butter","2014","2014","tonnes","27018","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","664","Cocoa, butter","2015","2015","tonnes","26688","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","664","Cocoa, butter","2016","2016","tonnes","19999","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","150","Netherlands","5910","Export Quantity","664","Cocoa, butter","2017","2017","tonnes","19347","","Official data"
