Item,Area,Year,Unit,Value
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2012,I$,3692.6
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2013,I$,3922.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2014,I$,4161.9
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2015,I$,4417.2
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2016,I$,4615.7
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2017,I$,4830.8
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2018,I$,5033.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2019,I$,5212.6
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2020,I$,5174.1
Value of food imports in total merchandise exports (percent) (3-year average),Côte d'Ivoire,2009-2011,%,11.0
Value of food imports in total merchandise exports (percent) (3-year average),Côte d'Ivoire,2010-2012,%,13.0
Value of food imports in total merchandise exports (percent) (3-year average),Côte d'Ivoire,2011-2013,%,13.0
Value of food imports in total merchandise exports (percent) (3-year average),Côte d'Ivoire,2012-2014,%,12.0
Value of food imports in total merchandise exports (percent) (3-year average),Côte d'Ivoire,2013-2015,%,10.0
Value of food imports in total merchandise exports (percent) (3-year average),Côte d'Ivoire,2014-2016,%,11.0
Value of food imports in total merchandise exports (percent) (3-year average),Côte d'Ivoire,2015-2017,%,11.0
Value of food imports in total merchandise exports (percent) (3-year average),Côte d'Ivoire,2016-2018,%,12.0
Value of food imports in total merchandise exports (percent) (3-year average),Côte d'Ivoire,2017-2019,%,12.0
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2010,I$,10341.0
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2011,I$,10984.3
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2012,I$,11431.4
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2013,I$,11818.6
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2014,I$,12078.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2015,I$,11896.4
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2016,I$,11551.6
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2017,I$,11617.9
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2018,I$,11561.7
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2019,I$,11370.6
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2020,I$,10329.2
Value of food imports in total merchandise exports (percent) (3-year average),Ecuador,2009-2011,%,7.0
Value of food imports in total merchandise exports (percent) (3-year average),Ecuador,2010-2012,%,6.0
Value of food imports in total merchandise exports (percent) (3-year average),Ecuador,2011-2013,%,6.0
Value of food imports in total merchandise exports (percent) (3-year average),Ecuador,2012-2014,%,5.0
Value of food imports in total merchandise exports (percent) (3-year average),Ecuador,2013-2015,%,6.0
Value of food imports in total merchandise exports (percent) (3-year average),Ecuador,2014-2016,%,6.0
Value of food imports in total merchandise exports (percent) (3-year average),Ecuador,2015-2017,%,6.0
Value of food imports in total merchandise exports (percent) (3-year average),Ecuador,2016-2018,%,6.0
Value of food imports in total merchandise exports (percent) (3-year average),Ecuador,2017-2019,%,6.0
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2010,I$,3729.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2011,I$,4151.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2012,I$,4431.0
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2013,I$,4645.8
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2014,I$,4670.2
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2015,I$,4662.3
